time,place,latitude,longitude,mag,country,sub_continent,continent
2023-02-17T09:37:34.868Z,"130 km SW of Tual, Indonesia",-6.5986,132.0763,6.1,Indonesia,South-eastern Asia,Asia
2023-02-16T05:37:05.138Z,"7 km SW of Port-Olry, Vanuatu",-15.0912,167.0294,5.6,Vanuatu,Melanesia,Oceania
2023-02-15T18:10:10.060Z,"Masbate region, Philippines",12.3238,123.8662,6.1,Philippines,South-eastern Asia,Asia
2023-02-15T06:38:09.034Z,"54 km WNW of Otaki, New Zealand",-40.5465,174.5709,5.7,New Zealand,Australia and New Zealand,Oceania
2023-02-14T13:16:51.072Z,"2 km NW of Lele?ti, Romania",45.1126,23.1781,5.6,Romania,Eastern Europe,Europe
2023-02-13T09:18:07.995Z,"Kermadec Islands, New Zealand",-29.5218,-177.9727,6.1,Tonga,Polynesia,Oceania
2023-02-11T15:31:26.464Z,Tristan da Cunha region,-35.3341,-15.6399,5.6,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2023-02-11T08:55:07.845Z,,3.6213,126.6944,5.9,Indonesia,South-eastern Asia,Asia
2023-02-09T21:12:19.743Z,Carlsberg Ridge,-1.2376,67.5366,5.5,Maldives,Southern Asia,Asia
2023-02-09T10:53:17.268Z,"45 km SW of Kirakira, Solomon Islands",-10.7636,161.644,5.5,Solomon Islands,Melanesia,Oceania
2023-02-08T15:16:17.075Z,North of Honduras,16.7536,-86.0733,5.5,Honduras,Central America,North America
2023-02-07T03:13:12.767Z,"8 km ESE of Gölba??, Turkey",37.7582,37.7303,5.5,Turkey,Western Asia,Asia
2023-02-07T00:35:51.673Z,"81 km WSW of Pelabuhanratu, Indonesia",-7.345,105.9037,5.5,Indonesia,South-eastern Asia,Asia
2023-02-06T12:02:11.825Z,"5 km NE of Göksun, Turkey",38.0605,36.537,6,Turkey,Western Asia,Asia
2023-02-06T10:51:30.942Z,"16 km ENE of Do?an?ehir, Turkey",38.1236,38.0529,5.7,Turkey,Western Asia,Asia
2023-02-06T10:35:58.653Z,"13 km SW of Do?an?ehir, Turkey",38.0084,37.7505,5.8,Turkey,Western Asia,Asia
2023-02-06T10:26:48.486Z,Central Turkey,38.0302,37.9636,6,Turkey,Western Asia,Asia
2023-02-06T10:24:49.258Z,"4 km SSE of Ekinözü, Turkey",38.0235,37.203,7.5,Turkey,Western Asia,Asia
2023-02-06T02:03:36.258Z,"2 km S of Tut, Turkey",37.7769,37.9199,5.5,Turkey,Western Asia,Asia
2023-02-06T01:36:27.357Z,Turkey-Syria border region,36.9921,36.6832,5.6,Turkey,Western Asia,Asia
2023-02-06T01:28:15.984Z,Central Turkey,37.1784,36.9468,6.7,Turkey,Western Asia,Asia
2023-02-06T01:26:50.760Z,,37.2241,36.9749,5.7,Turkey,Western Asia,Asia
2023-02-06T01:17:35.525Z,"27 km E of Nurda??, Turkey",37.1662,37.0421,7.8,Turkey,Western Asia,Asia
2023-02-05T01:02:45.925Z,"28 km N of La Serena, Chile",-29.6451,-71.2485,5.5,Chile,Southern America,South America
2023-02-05T00:03:19.589Z,"Izu Islands, Japan region",32.6723,141.7624,5.8,Japan,Eastern Asia,Asia
2023-02-04T12:22:37.007Z,"41 km ESE of Kainantu, Papua New Guinea",-6.3817,146.2246,5.9,Papua New Guinea,Melanesia,Oceania
2023-02-01T10:44:46.054Z,"Mindanao, Philippines",7.74,126.056,6,Philippines,South-eastern Asia,Asia
2023-01-29T23:49:38.212Z,"110 km ESE of Aral, China",40.0166,82.3702,5.7,China,Eastern Asia,Asia
2023-01-28T18:14:45.863Z,"14 km SSW of Khowy, Iran",38.4239,44.9091,5.9,Iran,Southern Asia,Asia
2023-01-26T10:45:52.904Z,"Kermadec Islands, New Zealand",-30.2276,-178.6745,6,Tonga,Polynesia,Oceania
2023-01-26T04:23:51.234Z,"167 km NW of Tobelo, Indonesia",2.8388,126.9805,5.7,Indonesia,South-eastern Asia,Asia
2023-01-25T12:37:05.134Z,"60 km SE of Lárdos, Greece",35.7086,28.4965,5.9,Greece,Southern Europe,Europe
2023-01-24T18:37:00.133Z,"31 km WSW of Campo Gallo, Argentina",-26.7346,-63.118,6.4,Argentina,Southern America,South America
2023-01-24T08:58:32.284Z,"62 km NW of Jumla, Nepal",29.5974,81.6522,5.6,Nepal,Southern Asia,Asia
2023-01-24T02:13:14.926Z,"168 km NW of Tobelo, Indonesia",2.8209,126.9485,5.8,Indonesia,South-eastern Asia,Asia
2023-01-23T18:17:34.538Z,Molucca Sea,2.8286,127.0003,5.5,Indonesia,South-eastern Asia,Asia
2023-01-21T19:49:28.646Z,Reykjanes Ridge,57.4043,-33.2978,5.7,Greenland,Northern America,North America
2023-01-20T22:09:39.043Z,"31 km SW of Campo Gallo, Argentina",-26.7513,-63.1017,6.8,Argentina,Southern America,South America
2023-01-20T11:23:40.603Z,"40 km WSW of Pointe-Noire, Guadeloupe",16.1397,-62.1529,6.1,Guadeloupe,Caribbean,North America
2023-01-20T11:23:40.000Z,"24 km W of Pointe-Noire, Guadeloupe",16.239,-62.015,5.8,Guadeloupe,Caribbean,North America
